video_id,title,published_at,view_count,like_count,comment_count,duration_seconds,days_live,duration_minutes,views_per_day,engagement_rate_pct,comments_per_10k_views,category,is_outlier_hit
23dbj3silMU,"Lakshya Sen on Champion Mindset, Olympic Heartbreak, Injuries & Comebacks | FO504 Raj Shamani",2026-05-02 15:39:00+00:00,222589,7621,513,7718.0,108.90099146556713,128.6,2044,3.65,23.0,Sports & Performance,False
ig1VtIEFkcI,"Psychology of Love: Narcissism, Toxic Love & Male Identity | Mark Manson | FO503 Raj Shamani",2026-04-30 15:39:00+00:00,895483,20476,1094,10796.0,110.90099146556713,179.9,8075,2.41,12.2,True Crime & Forensics,False
CdsneNlNpXw,"The Hidden Danger in Rice and Wheat: Focus Issues, Iron Loss & Anemia | Ravinder | FO502 Raj Shamani",2026-04-28 15:39:00+00:00,1020659,11257,638,4336.0,112.90099146556713,72.3,9040,1.17,6.3,Culture & Society,False
rb9536WrfDA,"⁠Indian Diet Problem: Low Protein, High Calories & Muscle Loss | Prashant Desai | FO501 Raj Shamani",2026-04-25 15:42:30+00:00,868001,15586,1166,7668.0,115.89856091001157,127.8,7489,1.93,13.4,"Health, Science & Mind",False
w9TAdQxshhg,"Inside the World’s Deadliest Jungle: Snakes, Tigers & Survival | Paul Rosolie | FO500 Raj Shamani",2026-04-23 15:39:30+00:00,4398871,103787,4254,9280.0,117.9006442433449,154.7,37310,2.46,9.7,True Crime & Forensics,True
7fsb6ZESyzE,"Earn Crores with AI: Business Ideas, Claude, Free Tools & Prompts | Vaibhav | FO499 Raj Shamani",2026-04-21 15:40:25+00:00,2274006,56473,1766,8029.0,119.90000766927083,133.8,18966,2.56,7.8,Finance & Wealth,True
3dqWCppVKCU,"How to Build Saree Brand: Strategy, Systems, AI & Profit | Prasad Chalavadi | FO498 Raj Shamani",2026-04-18 15:39:00+00:00,443854,7652,552,5362.0,122.90099146556713,89.4,3611,1.85,12.4,Startups & Business,False
sX6gEwH-SA4,"Khan Sir on India’s Reality, Government, Education System, Politics & Poverty | FO497 Raj Shamani",2026-04-16 15:39:00+00:00,6808642,278474,40070,3805.0,124.90099146556713,63.4,54512,4.68,58.9,Education & Exams,True
ZfMEVzUKlcU,"Degrees vs Skills Debate: ROI, Jobs, IITs & Real Career Outcomes | Arpit Agrawal | FO496 Raj Shamani",2026-04-14 15:39:00+00:00,393327,13099,1281,5426.0,126.90099146556713,90.4,3099,3.66,32.6,True Crime & Forensics,False
vFrkf8WyJVc,"Ankur Warikoo on People Living a Fake Life, Societal Pressure & Staying Poor | FO495 Raj Shamani",2026-04-11 15:39:00+00:00,1592088,34829,1844,7690.0,129.90099146556713,128.2,12256,2.3,11.6,Geopolitics & Defense,True
q1hvfs-VL5U,"How to Build a Big Brand: Gen Z, Packaging & Influencer Marketing | Suyash Saraf | FO494 Raj Shamani",2026-04-09 15:39:00+00:00,399673,8982,382,5584.0,131.90099146556713,93.1,3030,2.34,9.6,Finance & Wealth,False
7B9ouInLN9E,"Why Bengal Is Declining: Politics, Violence & Mamata Banerjee | Mrityunjay | FO493 Raj Shamani",2026-04-07 15:39:00+00:00,2662547,47444,4896,8486.0,133.90099146556713,141.4,19884,1.97,18.4,Culture & Society,True
x5lkswNc1Wc,"Janhvi Kapoor on Addictions, Bollywood, Childhood, Parents & Relationships | FO492 Raj Shamani",2026-04-04 15:39:00+00:00,1948671,31239,2873,7616.0,136.90099146556713,126.9,14234,1.75,14.7,Culture & Society,True
5suNXiI1vjQ,Indian Diplomat Explains: India vs US vs China & Trump | Syed Akbaruddin | FO491Raj Shamani,2026-04-02 15:39:00+00:00,1936428,16167,1057,11654.0,138.90099146556713,194.2,13941,0.89,5.5,Geopolitics & Defense,True
